"exp_rep","media_type2","strain","str_med2","str_med2_rep","mintime","peak growth rate","peak growth time","doubling time","lag time","max y","max y time"
"exp0329_sdscAB_acomp_bhis_1","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_1",0,0.111312051914541,4.89965290498643,6.22706318532431,2.80829824194331,0.605679145993283,9.3
"exp0329_sdscAB_acomp_sds_2_1","sds_2","cAB_acomp","cAB_acomp_sds_2","cAB_acomp_sds_2_1",0,0.000154938662891026,8.00696040792144,1239.45909972256,38.1292356421888,0.0049966475261377,8.3
"exp0329_sdscAB_bcomp_bhis_1","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_1",0,0.110356846818481,4.77855865654158,6.28096217446352,2.75978314390196,0.57891043512953,8.8
"exp0329_sdscAB_bhis_1","bhis","cAB","cAB_bhis","cAB_bhis_1",0,0.136335600233643,5.62094975922898,5.08412461141531,3.18259876703076,0.736085409981386,9.3
"exp0329_sdscAB_sds_2_1","sds_2","cAB","cAB_sds_2","cAB_sds_2_1",0.2,5.96333325757704e-05,6.13220499440716,11623.4855678949,101.713650305727,0.00385834672620316,6.2
"exp0329_sdscA_bhis_1","bhis","cA","cA_bhis","cA_bhis_1",0,0.126551254951403,5.48913714325234,5.47720511207986,3.08420311821699,0.673517900652242,9.3
"exp0329_sdscA_comp_bhis_1","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_1",0,0.114321585332949,4.64700467678454,6.06313478370013,2.73692304293855,0.609285752802809,9.3
"exp0329_sdscB_bhis_1","bhis","cB","cB_bhis","cB_bhis_1",0,0.14497634889494,5.58022599497022,4.78110523435963,3.16125250338223,0.78581769032392,9.5
"exp0329_sdscB_comp_bhis_1","bhis","cB_comp","cB_comp_bhis","cB_comp_bhis_1",0,0.110648741958195,4.76727040995811,6.26439278290058,2.7754188287049,0.584128278804559,9.2
"exp0329_sdscB_sds_2_1","sds_2","cB","cB_sds_2","cB_sds_2_1",0,0.000160181419187721,6.01553544188018,4327.2633247657,32.1468943984461,0.00335274606757842,6.3
"exp0329_sdswt_bhis_1","bhis","wt","wt_bhis","wt_bhis_1",0,0.133951536666864,5.47176249861962,5.1746116379672,3.0687874062733,0.726521898973015,9.3
"exp0329_sdswt_sds_2_1","sds_2","wt","wt_sds_2","wt_sds_2_1",7,0.129364493769408,11.2918549744846,5.35809448453049,9.84359901195252,0.649770487914578,16.3
"exp0523_sdscAB_acomp_bhis_2","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_2",0,0.122875222518511,5.83611724498828,5.64106551632512,3.23578604254485,0.703055964052175,9.7
"exp0523_sdscAB_acomp_bhis_3","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_3",0,0.128492594233156,6.01086822682492,5.39445237833861,3.37048491311101,0.7257128015001,9.5
"exp0523_sdscAB_acomp_sds_2_3","sds_2","cAB_acomp","cAB_acomp_sds_2","cAB_acomp_sds_2_3",11,0.0998896750851295,15.7411561389524,6.93912739198742,12.9232248992305,0.574893158161919,19.3
"exp0523_sdscAB_bcomp_bhis_2","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_2",0,0.125161501625595,5.83717008868281,5.53802224771486,3.39256191903314,0.691924850075621,9.5
"exp0523_sdscAB_bcomp_bhis_3","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_3",0,0.124620570996637,5.8331161666606,5.56206070166899,3.35238525743037,0.70495459686639,9.7
"exp0523_sdscAB_bhis_2","bhis","cAB","cAB_bhis","cAB_bhis_2",0,0.123400360511769,5.44709050396983,5.61705960732457,3.21442407036485,0.682592053991984,9.3
"exp0523_sdscAB_bhis_3","bhis","cAB","cAB_bhis","cAB_bhis_3",0,0.118266396038754,5.53347339902644,5.86089712527312,3.14331843527507,0.673334947018252,9.5
"exp0523_sdscAB_sds_2_2","sds_2","cAB","cAB_sds_2","cAB_sds_2_2",0,0.000631755261486666,4.87643581404022,1097.17674361557,28.7389869573794,0.0240449950320327,6.3
"exp0523_sdscAB_sds_2_3","sds_2","cAB","cAB_sds_2","cAB_sds_2_3",0,0.0006745612518939,4.93468239628521,1027.55261825944,27.6349237656653,0.0183713467297542,6.3
"exp0523_sdscA_bhis_2","bhis","cA","cA_bhis","cA_bhis_2",0,0.132567597376378,4.87602573852363,5.22863199060631,2.95934963579102,0.715964848563818,9.2
"exp0523_sdscA_bhis_3","bhis","cA","cA_bhis","cA_bhis_3",0,0.131917031197382,4.84482798781391,5.25441767653804,2.95132797883139,0.714067247183451,9.2
"exp0523_sdscA_comp_bhis_2","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_2",0,0.131179760355537,5.34945758303345,5.28394912966228,3.06161796290137,0.724873404164711,9.3
"exp0523_sdscA_comp_bhis_3","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_3",0,0.12578802463393,5.25240115802,5.51043855388582,3.03362368676683,0.704843583471974,9.3
"exp0523_sdscA_comp_sds_2_2","sds_2","cA_comp","cA_comp_sds_2","cA_comp_sds_2_2",4.7,0.105411369787895,10.0976498598752,6.57563962933668,8.03767039012755,0.619797358866035,14.8
