name,association,experiment,image,image.label,intensity,location,position,shape,shape.length,shape.roundness,shape.width.max,shape.width.mean,shape.width.min,zscore
b6,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15306.719,(x=1.46 y=87.51),1,1,2.7530267,0.34504122,0.798391,0.796755,0.79021215,5.595965
b8,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15644.613,(x=2.06 y=73.07),1,1,2.432304,0.41746247,0.8661169,0.8634582,0.85199946,5.497774
b9,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16562.613,(x=3.01 y=42.84),1,1,3.445103,0.29476753,0.8426006,0.8414384,0.83282167,5.2310066
b10,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17687.953,(x=2.93 y=4.79),1,1,2.5486145,0.33463973,0.7150655,0.71313345,0.70627445,4.9039874
b12,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17852.828,(x=4.36 y=68.65),1,1,3.7113156,0.22072199,0.6713135,0.6704711,0.6650227,4.8560753
b13,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17510.31,(x=3.52 y=53.25),1,1,2.7603438,0.31343925,0.71898454,0.7172244,0.7102966,4.9556093
b14,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17123.924,(x=4.68 y=36.47),1,1,1.54692,0.54132736,0.7878751,0.7653096,0.7327467,5.0678916
b15,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17968.209,(x=4.53 y=34.43),1,1,2.12971,0.4021303,0.7297919,0.7275438,0.72172236,4.8225455
b16,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16012.116,(x=5.14 y=80.61),1,1,2.6685355,0.3738771,0.84142673,0.8390017,0.8294233,5.3909793
b17,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16523.975,(x=5.33 y=90.99),1,1,2.29648,0.4045513,0.79195446,0.79014754,0.7847081,5.2422347
b18,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17368.6,(x=5.14 y=65.16),1,1,3.0593414,0.31697732,0.8084668,0.8068913,0.79976594,4.9967904
b19,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15900.102,(x=5.33 y=58.74),1,1,2.4973292,0.40776765,0.86825234,0.86571217,0.8550646,5.42353
b21,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15695.396,(x=5.86 y=47.01),1,1,2.0400882,0.4862471,0.93556553,0.89821184,0.83262694,5.483017
b23,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15539.529,(x=8.48 y=23.88),1,1,2.5806196,0.40876356,0.8977571,0.8960753,0.8901676,5.5283113
b24,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17229.408,(x=9.26 y=18.58),1,1,2.6317766,0.3308993,0.73025143,0.7290937,0.72497743,5.0372386
b25,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17659.852,(x=10.88 y=43.15),1,1,2.1347954,0.3700857,0.6689891,0.667175,0.66264087,4.9121532
b26,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15572.891,(x=11.61 y=47.11),1,1,2.913171,0.35311577,0.8643437,0.86193156,0.8511582,5.518616
b27,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16553.27,(x=12.61 y=39.86),1,1,3.286971,0.3252949,0.88655007,0.8851201,0.87832195,5.2337217
b28,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16957.516,(x=13.96 y=25.26),1,1,2.3626347,0.371252,0.74229217,0.7402301,0.7314777,5.1162496
b29,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15466.848,(x=14.77 y=7.04),1,1,2.376649,0.4159149,0.84541106,0.8432932,0.83456767,5.5494323
b31,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16352.768,(x=14.98 y=47.12),1,1,2.041998,0.4472749,0.7873633,0.78509676,0.7805443,5.2919874
b32,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15927.101,(x=15.76 y=81.84),1,1,2.2577267,0.43291762,0.8373069,0.83555776,0.8311117,5.415684
b33,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16955.945,(x=16.90 y=68.21),1,1,2.2013388,0.37607962,0.7018784,0.7001203,0.69484335,5.116706
b34,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16901.115,(x=18.20 y=8.04),1,1,3.250206,0.27454185,0.7390477,0.7381374,0.73351204,5.1326394
b35,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16787.867,(x=20.67 y=55.95),1,1,2.7850611,0.3603016,0.8475156,0.8457806,0.83622557,5.165549
b36,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16393.28,(x=20.72 y=5.05),1,1,2.0407345,0.44763166,0.786358,0.78399104,0.7792044,5.2802143
b37,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16019.637,(x=22.73 y=13.00),1,1,1.7567346,0.53783137,0.83224726,0.8286945,0.8233389,5.388794
b38,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15848,(x=25.49 y=40.53),1,1,2.6088946,0.37985632,0.8367567,0.83466506,0.82732844,5.4386706
b39,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15123.631,(x=25.53 y=69.36),1,1,1.8175758,0.56777537,0.9168142,0.9129725,0.90712154,5.6491694
b41,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17126.736,(x=26.54 y=90.82),1,1,3.8355281,0.20356895,0.6378129,0.6372447,0.6333002,5.0670743
b42,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16938.332,(x=28.56 y=58.25),1,1,2.9764454,0.31929213,0.79360825,0.7920826,0.78570586,5.1218243
b44,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16320.859,(x=30.59 y=80.00),1,1,3.165677,0.3183983,0.83629864,0.834902,0.82518685,5.3012595
b47,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15758.1875,(x=31.10 y=102.27),1,1,2.7365077,0.3421252,0.7854379,0.78401816,0.77837056,5.46477
b48,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16366.074,(x=31.57 y=44.83),1,1,3.0912774,0.34009832,0.8818843,0.8795697,0.86508113,5.2881203
b49,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16049.055,(x=32.22 y=12.99),1,1,2.3777187,0.38962716,0.7878758,0.7861272,0.7808861,5.3802447
b50,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15880.437,(x=32.85 y=37.85),1,1,2.1724136,0.43206078,0.80479515,0.8026661,0.7970562,5.429245
b52,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16894.281,(x=36.76 y=34.68),1,1,2.9704359,0.3319681,0.82771456,0.8259017,0.81782347,5.1346254
b53,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16254.578,(x=36.40 y=22.12),1,1,2.4301786,0.39034587,0.80427134,0.80225027,0.79607946,5.320521
b54,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17735.111,(x=37.48 y=13.83),1,1,2.2576532,0.3492205,0.6640476,0.6624739,0.65770763,4.890283
b55,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15368.397,(x=37.27 y=68.77),1,1,1.8362608,0.52340025,0.9030349,0.8773347,0.8393018,5.5780416
b56,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15935.556,(x=37.70 y=9.06),1,1,1.9524696,0.4579427,0.7728503,0.7707111,0.7664337,5.4132276
b57,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17134.643,(x=40.58 y=40.55),1,1,3.2581515,0.25551015,0.68721616,0.6861407,0.68024594,5.064777
b59,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15498.975,(x=40.87 y=26.17),1,1,2.076652,0.44142613,0.7891822,0.78709614,0.78188646,5.5400963
b60,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17711.033,(x=40.85 y=44.84),1,1,3.597944,0.26512402,0.77529174,0.77418905,0.7680013,4.8972797
b61,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16499.082,(x=43.76 y=19.73),1,1,3.647686,0.27199405,0.8126497,0.81143767,0.80410916,5.249469
b62,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15500.757,(x=43.06 y=30.15),1,1,1.9703671,0.49108207,0.84309924,0.84077674,0.8337062,5.5395784
b63,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15919.467,(x=43.30 y=67.64),1,1,2.4257894,0.39948076,0.8258403,0.82400537,0.81631064,5.417903
b64,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15362.107,(x=45.07 y=53.92),1,1,2.2417312,0.442706,0.85223323,0.8495536,0.8398977,5.5798693
b65,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16878.316,(x=46.44 y=35.19),1,1,2.4712396,0.34444228,0.7165114,0.7146675,0.70822155,5.1392646
b66,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16798.281,(x=46.90 y=49.84),1,1,2.8523881,0.34713465,0.82746065,0.8254473,0.8174322,5.162523
b68,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,18064.559,(x=46.80 y=45.90),1,1,2.7003098,0.30862093,0.69355035,0.6920851,0.68629694,4.794547
b70,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16086.303,(x=47.61 y=32.98),1,1,1.8123252,0.527802,0.8414214,0.8380478,0.8298479,5.3694205
b71,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17974.312,(x=48.79 y=19.77),1,1,3.300612,0.26132175,0.7099972,0.70873654,0.7019822,4.820772
b72,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17048.22,(x=51.05 y=12.07),1,1,2.6992712,0.28074697,0.6287717,0.6279373,0.62461156,5.089891
b73,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17043.088,(x=51.44 y=23.23),1,1,3.779007,0.25507838,0.7922902,0.7912463,0.7844682,5.0913825
b74,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16569.22,(x=51.81 y=92.59),1,1,2.599083,0.39119837,0.86429244,0.8620762,0.8513384,5.2290864
b75,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15800.331,(x=51.92 y=99.99),1,1,2.2344854,0.41845638,0.7986985,0.79640585,0.7906518,5.452523
b76,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15631.49,(x=52.23 y=78.35),1,1,1.9943358,0.48344138,0.83788073,0.8349148,0.82896453,5.5015874
b77,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17956.18,(x=54.35 y=63.02),1,1,3.853419,0.19771172,0.6141369,0.6131548,0.6065813,4.826041
b78,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16843.152,(x=53.48 y=19.43),1,1,1.8555521,0.46657696,0.74996537,0.74263024,0.7118453,5.149483
b80,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17309.46,(x=53.69 y=37.04),1,1,1.841953,0.4926502,0.7912746,0.7886493,0.7833733,5.0139756
b81,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15979.077,(x=54.48 y=100.68),1,1,2.3296437,0.38826716,0.7671706,0.7658901,0.76142883,5.4005804
b83,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16670.223,(x=55.06 y=52.82),1,1,3.2149134,0.31834838,0.856252,0.85479873,0.84436023,5.199736
b84,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16189.303,(x=56.45 y=84.90),1,1,2.3515594,0.37961382,0.7571242,0.75562185,0.75111693,5.3394895
b85,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16459.2,(x=56.37 y=10.20),1,1,1.5414627,0.5235548,0.7556404,0.7234105,0.6837202,5.2610583
b86,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16857.875,(x=57.69 y=43.71),1,1,4.270386,0.22444056,0.7808831,0.78006196,0.77403873,5.1452045
b87,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15671.81,(x=57.38 y=7.09),1,1,2.2389584,0.44276983,0.84105676,0.8378897,0.8302757,5.489871
b89,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16628.713,(x=57.84 y=11.79),1,1,3.5053442,0.28425625,0.8258015,0.8247368,0.81650364,5.211798
b90,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16212.674,(x=60.18 y=20.95),1,1,3.6988273,0.24628678,0.7438691,0.7431047,0.73852634,5.332698
b91,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16691.572,(x=61.20 y=60.22),1,1,1.5045038,0.5540038,0.8066186,0.7755906,0.74148977,5.1935315
b92,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15774.806,(x=61.41 y=48.68),1,1,2.6300528,0.38660926,0.8617091,0.85923415,0.8505495,5.4599404
b94,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15471.672,(x=64.53 y=54.70),1,1,2.5707674,0.38790816,0.8435918,0.8416454,0.8323017,5.5480304
b95,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15671.869,(x=63.72 y=4.37),1,1,2.4847884,0.37140244,0.7784524,0.7769441,0.7715028,5.489854
b97,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15636.295,(x=64.79 y=90.64),1,1,1.9289701,0.54004437,0.91900516,0.9024555,0.86501324,5.500191
b98,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17120.32,(x=65.32 y=71.96),1,1,3.3805835,0.2850922,0.8002538,0.7988183,0.7918176,5.068939
b99,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17543.586,(x=67.80 y=25.83),1,1,3.3336117,0.24230398,0.66498375,0.6641185,0.65937155,4.9459395
b100,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16592.074,(x=67.52 y=87.73),1,1,2.8647041,0.35228923,0.85019594,0.8482569,0.8369711,5.2224455
b101,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16433.404,(x=68.54 y=39.53),1,1,3.0707326,0.30911744,0.79069024,0.78938204,0.7824251,5.2685547
b102,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16813.645,(x=69.95 y=81.66),1,1,2.1882644,0.44526342,0.8308536,0.8281628,0.8213941,5.158058
b103,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15507.284,(x=71.09 y=27.02),1,1,2.516105,0.38312322,0.8178834,0.8159048,0.8090559,5.5376816
b104,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17892.86,(x=70.34 y=87.71),1,1,2.286145,0.34092942,0.65284395,0.6514302,0.6470487,4.844442
b105,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15602.321,(x=72.39 y=92.55),1,1,3.4445484,0.29632348,0.8434214,0.84227216,0.8335789,5.510064
b107,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17241.756,(x=72.49 y=79.40),1,1,3.7979863,0.25463665,0.79786766,0.79683447,0.7900493,5.0336504
b108,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16012.8,(x=72.71 y=55.70),1,1,1.933103,0.48774397,0.8173711,0.8141638,0.80762696,5.3907804
b109,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16911.174,(x=73.47 y=15.65),1,1,3.6896768,0.25310495,0.7670059,0.76610804,0.76018596,5.1297164
b110,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16770.424,(x=74.70 y=46.32),1,1,1.938554,0.4359505,0.7909484,0.76016057,0.71384364,5.1706176
b111,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16420.572,(x=75.15 y=66.79),1,1,1.7664515,0.4962881,0.76523703,0.76276726,0.7589733,5.2722836
b112,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,14882.203,(x=75.03 y=102.02),1,1,1.8027549,0.55124974,0.877404,0.8749129,0.87092674,5.719328
b113,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15458.743,(x=75.41 y=18.72),1,1,2.3602688,0.38819376,0.7765227,0.77473766,0.769618,5.5517874
b114,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16814.07,(x=76.86 y=36.83),1,1,2.6450505,0.3689439,0.8256528,0.82401615,0.81566644,5.157934
